,MISSION,SETNO,CODE,SAMPWGT,TOTWGT,TOTNO,REMARKS,WEIGHT_UNITS,SPEC,COMM,STRAT,SLAT,SLONG,ELAT,ELONG,AREA,DUR,DIST,SPEED,DMIN,DMAX,TYPE,GEAR,AUX,DEPTH,ETIME,START_DEPTH,END_DEPTH,SURFACE_TEMPERATURE,BOTTOM_TEMPERATURE,BOTTOM_SALINITY,LATITUDE,LONGITUDE,YEAR,SetID,STDWGT
4630,ATC1973213,73,220,3,3,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4620,5902,NA,NA,441,30,2.3,4.6,135,140,1,3,1,137,NA,NA,NA,18.9,5.2,34.65,46.33333333,-59.03333333,1973,ATC1973213.440.1973.73,2.282608696
15483,ATC1981322,71,220,2,2,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4625,5910,NA,NA,441,30,1.7,3.4,116,124,1,3,1,120,NA,NA,NA,16.4,2.75,33.925,46.41666667,-59.16666667,1981,ATC1981322.440.1981.71,2.058823529
18257,HAM1991231,93,220,1,1,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4614.12,5853.64,4615.28,5855.34,441,30,1.7,3.4,130,132,1,9,1,131,NA,NA,NA,14.73,4.13,34.058,46.23533333,-58.894,1991,HAM1991231.440.1991.93,1.029411765
19664,NED1983013,66,220,2,2,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4630,5918,NA,NA,441,30,1.7,3.4,131,133,1,9,1,132,NA,NA,NA,14.8,4.9,34.3,46.5,-59.3,1983,NED1983013.440.1983.66,2.058823529
22601,NED1985049,67,220,2,2,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4632,5920,NA,NA,441,30,1.7,3.4,145,147,1,9,1,146,NA,NA,NA,13.9,5.96,34.69,46.53333333,-59.33333333,1985,NED1985049.440.1985.67,2.058823529
24222,NED1986066,50,220,24,24,17,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4603,5836,NA,NA,441,30,1.7,3.4,139,142,1,9,1,140,NA,NA,NA,13.4,6.37,34.569,46.05,-58.6,1986,NED1986066.440.1986.50,24.70588235
24241,NED1986066,52,220,1,1,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4626,5906,NA,NA,441,30,1.6,3.2,170,171,1,9,1,170,NA,NA,NA,15.3,6.13,34.7,46.43333333,-59.1,1986,NED1986066.440.1986.52,1.09375
24251,NED1986066,53,220,4,4,3,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4641,5928,NA,NA,441,30,1.7,3.4,187,189,1,9,1,188,NA,NA,NA,15.3,6.16,34.724,46.68333333,-59.46666667,1986,NED1986066.440.1986.53,4.117647059
24259,NED1986066,54,220,3,3,2,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4657,5952,NA,NA,441,30,1.7,3.4,152,156,1,9,1,154,NA,NA,NA,14.7,6.15,34.667,46.95,-59.86666667,1986,NED1986066.440.1986.54,3.088235294
25702,NED1987086,30,220,2,2,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4702,5957,NA,NA,441,30,1.7,3.4,161,164,1,9,1,162,NA,NA,NA,17.8,5.8,34.814,47.03333333,-59.95,1987,NED1987086.440.1987.30,2.058823529
25740,NED1987086,33,220,6,6,4,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4641,5934,NA,NA,441,30,1.7,3.4,151,154,1,9,1,152,NA,NA,NA,16.4,5.26,34.318,46.68333333,-59.56666667,1987,NED1987086.440.1987.33,6.176470588
27886,NED1988106,73,220,8,8,4,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4619,5902,NA,NA,441,30,1.7,3.4,129,130,1,9,1,129,NA,NA,NA,13.5,5.48,34.305,46.31666667,-59.03333333,1988,NED1988106.440.1988.73,8.235294118
27917,NED1988106,77,220,58,58,33,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4704,6006,NA,NA,441,30,1.7,3.4,123,124,1,9,1,123,NA,NA,NA,15,5.48,34.305,47.06666667,-60.1,1988,NED1988106.440.1988.77,59.70588235
29313,NED1989124,34,220,2,2,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4643,5939,NA,NA,441,30,1.7,3.4,119,120,1,9,1,119,NA,NA,NA,15.1,5.12,34.363,46.71666667,-59.65,1989,NED1989124.440.1989.34,2.058823529
29322,NED1989124,35,220,18,18,13,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4636,5927,NA,NA,441,30,1.7,3.4,144,145,1,9,1,144,NA,NA,NA,14.7,5.57,34.567,46.6,-59.45,1989,NED1989124.440.1989.35,18.52941176
29352,NED1989124,39,220,1,1,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4602,5823,NA,NA,441,30,1.7,3.4,187,195,1,9,1,191,NA,NA,NA,5.66,5.66,34.679,46.03333333,-58.38333333,1989,NED1989124.440.1989.39,1.029411765
33955,NED1992174,65,220,1,1,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4607.48,5832.29,4608.76,5834.02,441,30,1.7,3.4,187,188,1,9,1,NA,NA,NA,NA,11,5.16,34.608,46.12466667,-58.53816667,1992,NED1992174.440.1992.65,1.029411765
38059,NED1994222,58,220,7,7,4,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4706.07,6009.39,4707.8,6009.59,441,30,1.7,3.4,117,117,1,9,1,NA,1994-07-23 23:51,NA,NA,18,5.92,34.62,47.10116667,-60.1565,1994,NED1994222.440.1994.58,7.205882353
38060,NED1994222,59,220,9,9,5,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4648.11,5943.24,4647,5941.57,441,30,1.7,3.4,139,144,1,9,1,NA,1994-07-24 2:12,NA,NA,19.5,5.85,34.696,46.80183333,-59.72066667,1994,NED1994222.440.1994.59,9.264705882
38097,NED1994222,60,220,8,8,4,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4642.88,5935.81,4641.71,5933.98,441,30,1.8,3.6,153,157,1,9,1,NA,1994-07-24 5:05,NA,NA,19.29,5.91,34.703,46.71466667,-59.59683333,1994,NED1994222.440.1994.60,7.777777778
38103,NED1994222,61,220,3,3,2,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4621.81,5901.21,4620.76,5858.93,441,30,1.9,3.8,160,162,1,9,1,NA,1994-07-24 8:48,NA,NA,18,5.96,34.725,46.3635,-59.02016667,1994,NED1994222.440.1994.61,2.763157895
42414,NED1996247,46,220,2.41,2.41,2,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4708.82,6006.99,4707.15,6005.95,441,30,1.84,3.68,128,131,1,9,1,NA,1996-07-22 23:57,NA,NA,13.8,5.59,34.579,47.147,-60.1165,1996,NED1996247.440.1996.46,2.292119565
42512,NED1996247,52,220,1.34,1.34,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4622.49,5858.72,4621.35,5856.81,441,30,1.74,3.48,173,174,1,9,1,NA,1996-07-23 12:55,NA,NA,12.3,5.56,34.77,46.37483333,-58.97866667,1996,NED1996247.440.1996.52,1.347701149
44782,NED1997734,65,220,2.5,2.5,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4635.84,5922.13,4635,5919.88,441,30,1.78,3.56,170,170,1,9,1,NA,1997-07-27 16:44,NA,NA,14.34,5.54,34.801,46.59733333,-59.36883333,1997,NED1997734.440.1997.65,2.457865169
46589,NED1998832,37,220,1.82,1.82,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4632.08,5911.98,4630.97,5910.1,441,30,1.71,3.42,184,185,1,9,1,NA,1998-07-24 14:17,NA,NA,16.6,5.33,34.758,46.53466667,-59.19966667,1998,NED1998832.440.1998.37,1.862573099
46605,NED1998832,38,220,1.68,1.68,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4627.59,5905.11,4626.55,5903.1,441,30,1.73,3.46,185,186,1,9,1,NA,1998-07-24 16:16,NA,NA,NA,NA,NA,46.45983333,-59.08516667,1998,NED1998832.440.1998.38,1.699421965
46628,NED1998832,39,220,3.24,3.24,2,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4621.92,5901.67,4620.78,5859.73,441,30,1.74,3.48,157,158,1,9,1,NA,1998-07-24 17:35,NA,NA,16.3,5.41,34.67,46.36533333,-59.02783333,1998,NED1998832.440.1998.39,3.25862069
46650,NED1998832,40,220,1.35,1.35,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4611.71,5839.77,4610.75,5837.67,441,30,1.74,3.48,183,184,1,9,1,NA,1998-07-24 20:30,NA,NA,15.7,5.25,34.77,46.19516667,-58.66283333,1998,NED1998832.440.1998.40,1.357758621
52821,NED2000431,72,220,1.8,1.8,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4630.79,5918.11,4631.96,5920.1,441,30,1.8,3.6,142,144,1,9,1,NA,2000-07-24 9:32,NA,NA,NA,NA,NA,46.51316667,-59.30183333,2000,NED2000431.440.2000.72,1.75
52858,NED2000431,76,220,1.64,1.64,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4640.75,5934.7,4642.37,5935.92,441,30,1.82,3.64,135,143,1,9,1,NA,2000-07-24 16:32,NA,NA,17.25,5.61,34.616,46.67916667,-59.57833333,2000,NED2000431.440.2000.76,1.576923077
55005,NED2001037,35,220,1.7,1.7,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4706.35,6011.48,4708.19,6011.44,441,30,1.78,3.56,112,113,1,9,1,NA,2001-07-21 5:14,NA,NA,15.41,5.74,34.493,47.10583333,-60.19133333,2001,NED2001037.440.2001.35,1.671348315
55012,NED2001037,36,220,2.17,2.17,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,440,4646.24,5941.38,4644.97,5939.66,441,30,1.73,3.46,137,139,1,9,1,NA,2001-07-21 8:50,NA,NA,17.49,5.74,34.481,46.77066667,-59.68966667,2001,NED2001037.440.2001.36,2.195086705
21056,NED1984032,63,220,6,6,4,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4605,5849,NA,NA,441,30,2,4,82,85,1,9,1,83,NA,NA,NA,16.5,6.41,34.55,46.08333333,-58.81666667,1984,NED1984032.441.1984.63,5.25
21115,NED1984032,69,220,4,4,2,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4623,5934,NA,NA,441,24,1.3,3.3,60,62,1,9,1,61,NA,NA,NA,18.8,2.46,32.788,46.38333333,-59.56666667,1984,NED1984032.441.1984.69,5.384615385
22535,NED1985049,60,220,4,4,2,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4603,5844,NA,NA,441,30,1.7,3.4,85,95,1,9,1,90,NA,NA,NA,13.7,5.81,34.685,46.05,-58.73333333,1985,NED1985049.441.1985.60,4.117647059
22568,NED1985049,65,220,12,12,7,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4706,6013,NA,NA,441,30,1.4,3.4,105,106,1,9,1,105,NA,NA,NA,16.5,5.83,34.433,47.1,-60.21666667,1985,NED1985049.441.1985.65,15
24278,NED1986066,56,220,8,8,5,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4648,6012,NA,NA,441,30,1.7,3.4,92,95,1,9,1,93,NA,NA,NA,15.9,3.84,33.774,46.8,-60.2,1986,NED1986066.441.1986.56,8.235294118
24294,NED1986066,57,220,6,6,4,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4646,6004,NA,NA,441,30,1.6,3.2,77,77,1,9,1,77,NA,NA,NA,15.6,2.65,33.332,46.76666667,-60.06666667,1986,NED1986066.441.1986.57,6.5625
24327,NED1986066,60,220,2,2,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4624,5928,NA,NA,441,30,1.7,3.4,64,65,1,9,1,64,NA,NA,NA,15.8,1.94,33.139,46.4,-59.46666667,1986,NED1986066.441.1986.60,2.058823529
25710,NED1987086,31,220,4,4,2,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4653,5956,NA,NA,441,30,1.8,3.6,85,95,1,9,1,90,NA,NA,NA,17.4,3.5,33.752,46.88333333,-59.93333333,1987,NED1987086.441.1987.31,3.888888889
27859,NED1988106,70,220,3,3,2,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4605,5854,NA,NA,441,30,1.8,3.6,72,76,1,9,1,74,NA,NA,NA,13,3.01,33.403,46.08333333,-58.9,1988,NED1988106.441.1988.70,2.916666667
27869,NED1988106,71,220,5,5,3,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4610,5859,NA,NA,441,30,1.6,3.2,70,71,1,9,1,70,NA,NA,NA,15,3.12,33.468,46.16666667,-58.98333333,1988,NED1988106.441.1988.71,5.46875
31634,NED1990140,69,220,2,2,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4659.02,6004.76,4700.12,6006.98,441,30,1.9,3.8,78,82,1,9,1,80,NA,NA,NA,18.4,3.99,33.976,46.98366667,-60.07933333,1990,NED1990140.441.1990.69,1.842105263
34053,NED1992174,74,220,21,21,12,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4703.09,6011.65,4704.13,6013.66,441,30,1.8,3.6,99,101,1,9,1,NA,NA,NA,NA,12.41,3.67,33.856,47.0515,-60.19416667,1992,NED1992174.441.1992.74,20.41666667
34058,NED1992174,75,220,5,5,3,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4703.21,6017.25,4702.22,6015,441,30,1.8,3.6,70,83,1,9,1,NA,NA,NA,NA,12.66,1.14,32.891,47.0535,-60.2875,1992,NED1992174.441.1992.75,4.861111111
36078,NED1993190,82,220,1,1,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4607.78,5853.94,4609.66,5855.01,441,30,2.02,4.04,69,77,1,9,1,NA,1993-07-29 19:46,NA,NA,12.2,NA,NA,46.12966667,-58.899,1993,NED1993190.441.1993.82,0.866336634
36085,NED1993190,83,220,1,1,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4612.87,5857.48,4614.53,5858.87,441,30,1.76,3.52,84,86,1,9,1,NA,1993-07-29 21:14,NA,NA,11.6,3.05,33.427,46.2145,-58.958,1993,NED1993190.441.1993.83,0.994318182
36136,NED1993190,87,220,9,9,5,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4632.33,5926.9,4633.88,5928.69,441,30,1.98,3.96,85,90,1,9,1,NA,1993-07-30 7:10,NA,NA,13.1,3.39,33.537,46.53883333,-59.44833333,1993,NED1993190.441.1993.87,7.954545455
36157,NED1993190,88,220,17,17,10,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4652.98,6007.94,4654.73,6007.41,441,30,1.75,3.5,85,95,1,9,1,NA,1993-07-30 11:23,NA,NA,13.4,2.91,33.387,46.883,-60.13233333,1993,NED1993190.441.1993.88,17
38023,NED1994222,56,220,6,6,4,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4643.34,5956.23,4644.92,5954.67,441,30,1.9,3.8,63,66,1,9,1,NA,1994-07-23 19:20,NA,NA,19.79,1.78,32.974,46.72233333,-59.93716667,1994,NED1994222.441.1994.56,5.526315789
38039,NED1994222,57,220,3,3,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4652.62,6002.8,4653.88,6001.15,441,30,1.73,3.46,91,91,1,9,1,NA,1994-07-23 21:24,NA,NA,20,3.43,33.609,46.877,-60.04666667,1994,NED1994222.441.1994.57,3.034682081
38117,NED1994222,62,220,2,2,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4611.8,5856.06,4610.74,5854.13,441,30,1.85,3.7,74,77,1,9,1,NA,1994-07-24 11:09,NA,NA,17.6,3.64,33.669,46.19666667,-58.93433333,1994,NED1994222.441.1994.62,1.891891892
38142,NED1994222,67,220,1,1,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4600.85,5845.09,4601.98,5843.11,441,30,1.77,3.54,91,95,1,9,1,NA,1994-07-24 21:07,NA,NA,17.1,6.46,34.513,46.01416667,-58.7515,1994,NED1994222.441.1994.67,0.988700565
40149,NED1995227,42,220,5.42,5.42,4,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4702.74,6014.81,4702.08,6012.41,441,30,1.76,3.52,84,88,1,9,1,NA,1995-07-14 1:12,NA,NA,17.79,3.13,33.663,47.04566667,-60.24683333,1995,NED1995227.441.1995.42,5.389204545
40169,NED1995227,43,220,1.5,1.5,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4649.64,5952.19,4648.55,5950.19,441,30,1.75,3.5,68,73,1,9,1,NA,1995-07-14 4:06,NA,NA,15.4,1.94,33.255,46.82733333,-59.86983333,1995,NED1995227.441.1995.43,1.5
42431,NED1996247,47,220,3.16,3.16,2,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4655.89,5958.5,4654.16,5958.25,441,30,1.74,3.48,93,95,1,9,1,NA,1996-07-23 2:28,NA,NA,15.01,3.23,33.674,46.9315,-59.975,1996,NED1996247.441.1996.47,3.17816092
42466,NED1996247,49,220,1.57,1.57,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4646.29,5947.89,4645.25,5945.78,441,30,1.75,3.5,69,70,1,9,1,NA,1996-07-23 5:57,NA,NA,14.58,1.62,32.968,46.7715,-59.79816667,1996,NED1996247.441.1996.49,1.57
44742,NED1997734,61,220,1.63,1.63,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4653.89,6008.77,4655.22,6006.99,441,30,1.79,3.58,80,81,1,9,1,NA,1997-07-27 6:27,NA,NA,16.93,3.69,33.598,46.89816667,-60.14616667,1997,NED1997734.441.1997.61,1.593575419
44799,NED1997734,66,220,2.41,2.41,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4624.91,5915.61,4623.33,5914.45,441,30,1.76,3.52,83,86,1,9,1,NA,1997-07-27 19:45,NA,NA,14.92,3.92,33.705,46.41516667,-59.26016667,1997,NED1997734.441.1997.66,2.396306818
46466,NED1998832,29,220,3.27,3.27,2,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4623.11,5915.35,4624.7,5914.35,441,30,1.75,3.5,84,85,1,9,1,NA,1998-07-23 18:05,NA,NA,16.9,2.35,33.315,46.38516667,-59.25583333,1998,NED1998832.441.1998.29,3.27
46552,NED1998832,33,220,1.51,1.51,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4654.24,5956.78,4655.7,5958.03,441,30,1.71,3.42,96,97,1,9,1,NA,1998-07-24 3:24,NA,NA,17.4,3.32,33.669,46.904,-59.94633333,1998,NED1998832.441.1998.33,1.545321637
46583,NED1998832,36,220,1.9,1.9,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4628.89,5926.22,4627.32,5925.21,441,30,1.73,3.46,78,80,1,9,1,NA,1998-07-24 11:41,NA,NA,17,1.62,33.028,46.4815,-59.437,1998,NED1998832.441.1998.36,1.921965318
49661,NED1999929,77,220,2.27,2.27,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4611.32,5857.64,4611.28,5900.3,441,30,1.83,3.66,69,71,1,9,1,NA,1999-07-28 6:00,NA,NA,16.19,2.98,33.37,46.18866667,-58.96066667,1999,NED1999929.441.1999.77,2.170765027
49673,NED1999929,78,220,2.32,2.32,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4616.46,5901.92,4617.63,5903.87,441,30,1.78,3.56,84,88,1,9,1,NA,1999-07-28 7:58,NA,NA,17.14,5.62,34.313,46.27433333,-59.032,1999,NED1999929.441.1999.78,2.280898876
49775,NED1999929,84,220,1.63,1.63,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4652.83,6001.8,4653.89,5959.74,441,30,1.75,3.39,92,94,1,9,1,NA,1999-07-28 21:48,NA,NA,19.17,5.07,34.22,46.8805,-60.03,1999,NED1999929.441.1999.84,1.63
53041,NED2000431,86,220,2.89,2.89,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,441,4602.77,5900.37,4601.95,5901.5,441,20,1.15,3.6,59,59,1,9,1,NA,2000-07-25 10:34,NA,NA,16,2.63,33.225,46.04616667,-59.00616667,2000,NED2000431.441.2000.86,4.397826087
17338,HAM1991231,104,220,18,18,11,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,442,4558.52,5943.69,4557.96,5941.49,441,30,1.6,3.2,21,28,1,9,1,25,NA,NA,NA,14.87,5.06,31.067,45.97533333,-59.72816667,1991,HAM1991231.442.1991.104,19.6875
22557,NED1985049,63,220,5,5,3,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,442,4633,5957,NA,NA,441,30,1.7,3.4,33,42,1,9,1,37,NA,NA,NA,17.1,0.6,32.27,46.55,-59.95,1985,NED1985049.442.1985.63,5.147058824
22624,NED1985049,70,220,2,2,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,442,4552,5941,NA,NA,441,30,1.7,3.4,27,33,1,9,1,30,NA,NA,NA,15.2,2.39,31.889,45.86666667,-59.68333333,1985,NED1985049.442.1985.70,2.058823529
24303,NED1986066,58,220,26,26,22,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,442,4630,5949,NA,NA,441,30,1.7,3.4,30,31,1,9,1,30,NA,NA,NA,15.8,3.51,31.27,46.5,-59.81666667,1986,NED1986066.442.1986.58,26.76470588
24305,NED1986066,59,220,20,20,17,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,442,4628,5943,NA,NA,441,30,1.7,3.4,36,38,1,9,1,37,NA,NA,NA,16,0.29,31.962,46.46666667,-59.71666667,1986,NED1986066.442.1986.59,20.58823529
25665,NED1987086,26,220,2,2,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,442,4618,5939,NA,NA,441,30,1.6,3.2,42,43,1,9,1,42,NA,NA,NA,17.4,-0.1,32.379,46.3,-59.65,1987,NED1987086.442.1987.26,2.1875
27927,NED1988106,78,220,2,2,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,442,4657,6019,NA,NA,441,30,1.8,3.6,33,35,1,9,1,34,NA,NA,NA,14.9,1.41,32.035,46.95,-60.31666667,1988,NED1988106.442.1988.78,1.944444444
27938,NED1988106,79,220,1,1,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,442,4643,5954,NA,NA,441,30,1.7,3.4,38,39,1,9,1,38,NA,NA,NA,15.9,1.39,32.045,46.71666667,-59.9,1988,NED1988106.442.1988.79,1.029411765
27956,NED1988106,81,220,118,118,75,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,442,4630,5953,NA,NA,441,26,1.5,3.5,27,28,1,9,1,27,NA,NA,NA,15.5,8.17,30.36,46.5,-59.88333333,1988,NED1988106.442.1988.81,137.6666667
27968,NED1988106,83,220,38,38,25,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,442,4621,5944,NA,NA,441,30,1.7,3.4,36,40,1,9,1,38,NA,NA,NA,15.6,1.26,32.084,46.35,-59.73333333,1988,NED1988106.442.1988.83,39.11764706
27976,NED1988106,84,220,1,1,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,442,4550,5940,NA,NA,441,30,2,4,45,48,1,9,1,46,NA,NA,NA,15.5,1.95,32.355,45.83333333,-59.66666667,1988,NED1988106.442.1988.84,0.875
29252,NED1989124,29,220,2,2,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,442,4612,5937,NA,NA,441,30,1.7,3.4,34,38,1,9,1,36,NA,NA,NA,16,0.26,33.357,46.2,-59.61666667,1989,NED1989124.442.1989.29,2.058823529
29268,NED1989124,30,220,1,1,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,442,4618,5944,NA,NA,441,30,1.7,3.4,36,38,1,9,1,37,NA,NA,NA,16.4,0.78,31.863,46.3,-59.73333333,1989,NED1989124.442.1989.30,1.029411765
29274,NED1989124,31,220,6,6,3,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,442,4617,5940,NA,NA,441,30,1.9,3.8,38,43,1,9,1,40,NA,NA,NA,15.5,0.11,32.318,46.28333333,-59.66666667,1989,NED1989124.442.1989.31,5.526315789
31626,NED1990140,67,220,3,3,3,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,442,4623.04,5940.07,4624.75,5939.63,441,30,1.7,3.4,44,45,1,9,1,45,NA,NA,NA,17.42,-0.11,32.356,46.384,-59.66783333,1990,NED1990140.442.1990.67,3.088235294
31671,NED1990140,71,220,1,1,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,442,4618.67,5944.46,4620.47,5944.61,441,30,1.8,3.6,36,38,1,9,1,37,NA,NA,NA,17.79,0.54,32.18,46.31116667,-59.741,1990,NED1990140.442.1990.71,0.972222222
31679,NED1990140,72,220,4,4,3,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,442,4608.45,5922.79,4606.79,5921.76,441,30,1.8,3.6,34,36,1,9,1,35,NA,NA,NA,17.83,1.19,31.98,46.14083333,-59.37983333,1990,NED1990140.442.1990.72,3.888888889
36161,NED1993190,89,220,1,1,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,442,4658.97,6021.23,4700.81,6021.48,441,30,1.78,3.56,31,34,1,9,1,NA,1993-07-30 13:42,NA,NA,13.9,0.27,32.136,46.98283333,-60.35383333,1993,NED1993190.442.1993.89,0.983146067
36183,NED1993190,90,220,1,1,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,442,4649.2,6016.18,4647.49,6016.89,441,30,1.74,3.48,43,44,1,9,1,NA,1993-07-30 16:01,NA,NA,12.9,NA,NA,46.82,-60.26966667,1993,NED1993190.442.1993.90,1.005747126
36195,NED1993190,91,220,2,2,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,442,4623.68,5940.53,4621.94,5941.32,441,30,1.75,3.5,43,45,1,9,1,NA,1993-07-30 19:53,NA,NA,13.9,0.47,32.409,46.39466667,-59.6755,1993,NED1993190.442.1993.91,2
36209,NED1993190,93,220,14,14,6,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,442,4604.58,5926.53,4604.22,5923.51,441,30,2.13,4.26,30,32,1,9,1,NA,1993-07-31 0:00,NA,NA,14.2,0.47,31.84,46.07633333,-59.44216667,1993,NED1993190.442.1993.93,11.50234742
37972,NED1994222,48,220,6,6,4,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,442,4548.93,5943.54,4549.9,5941.46,441,30,1.73,3.46,47,48,1,9,1,NA,1994-07-23 5:55,NA,NA,14.29,NA,NA,45.8155,-59.72566667,1994,NED1994222.442.1994.48,6.069364162
37992,NED1994222,50,220,5,5,1,NA,Grams,SQUALUS ACANTHIAS,SPINY DOGFISH,442,4613.66,5931.67,4614.01,5929.23,441,30,1.81,3.62,38,41,1,9,1,NA,1994-07-23 10:26,NA,NA,17.9,NA,NA,46.22766667,-59.52783333,1994,NED1994222.442.1994.50,4.834254144
